origin,carrier,count
Costco-January,ME,2
Costco-January,NOT ME,6
pizza hut-January,ME,4
pizza hut-January,NOT ME,4
Bodacious-February,ME,8
Bodacious-February,NOT ME,0
Brothers-February,ME,8
Brothers-February,NOT ME,0
Chico's-February,ME,4
Chico's-February,NOT ME,4
little cesar1-February,ME,4
little cesar1-February,NOT ME,4
little cesar2-February,ME,4
little cesar2-February,NOT ME,4
pizza hut-February,ME,4
pizza hut-February,NOT ME,4
sals1-March,ME,2
sals1-March,NOT ME,6
sals2-March,ME,2
sals2-March,NOT ME,6
Vino-April,ME,8
Vino-April,NOT ME,0
Brixx-April,ME,8
Brixx-April,NOT ME,0
Reginellas-April,ME,4
Reginellas-April,NOT ME,4
sals1-April,ME,2
sals1-April,NOT ME,6
sals2-May,ME,2
sals2-May,NOT ME,6
Corridore-June,ME,4
Corridore-June,NOT ME,4
Pie O Neer-July,ME,8
Pie O Neer-July,NOT ME,0
Marcos-July,ME,4
Marcos-July,NOT ME,4
little cesar-August,ME,8
little cesar-August,NOT ME,0
Shore Break-September,ME,4
Shore Break-September,NOT ME,4
Costco-September,ME,1
Costco-September,NOT ME,7
Bodacious-October,ME,8
Bodacious-October,NOT ME,0
Marcos-October,ME,4
Marcos-October,NOT ME,4
sals-October,ME,2
sals-October,NOT ME,6
cauliflower pizza-October,ME,4
cauliflower pizza-October,NOT ME,4
Pies and Pints-November,ME,4
Pies and Pints-November,NOT ME,4
sals-November,ME,2
sals-November,NOT ME,6
