id,value
bte,
bte.January,
bte.January.TheChainsmokersNewYorkCity,1
bte.January.BTSRUN,2
bte.January.FallOutBoyImLikeALawyerWithTheWayImAlwaysTryingToGetYouOffMeYou,3
bte.January.SevenLionsMyonShane54ToveLoStrangers,4
bte.January.GirlsGenerationLionHeart,5
bte.January.AmericanAuthorsGoBigOrGoHome,6
bte.January.HozierSomeoneNew,7
bte.January.DavichiJayParkWHITEFeatJayParkFromDMAKE,8
bte.January.2NE1GOTTABEYOU,9
bte.January.ZacBrownBandColderWeather,10
bte.January.JustinBieberHalseyTheFeeling,11
bte.January.AGreatBigWorldFuturisticHoldEachOther,12
bte.January.DavidGuettaSiaFettyWapBangMyHeadfeatSiaFettyWap,13
bte.January.CLHelloBitches,14
bte.January.DJSnakeYellowClawSpankerSlowDown,15
bte.January.TransvioletNewBohemia,16
bte.January.NeonBunnyLongD,17
bte.January.JustinBieberLoveYourself,18
bte.January.EthanButlerMattMcAndrewYellowTheVoicePerformance,19
bte.January.FlorenceTheMachineShipToWreck,20
bte.January.AlexSierraLittleDoYouKnow,21
bte.January.EXOSingForYou,22
bte.January.SaraBareillesGravity,23
bte.January.MINOTaeYangFear,24
bte.January.DisclosureLordeMagnets,25
bte.January.AOAHeartAttack,26
bte.January.TheBeatlesIWantToHoldYourHandRemastered2015,27
bte.January.PitbullFREEK,28
bte.January.SayAnythingAWalkThroughHell,29
bte.January.TheBeatlesWithALittleHelpFromMyFriendsRemastered,30
bte.February,
bte.February.WINNERBABYBABY,31
bte.February.TAEYEONRain,32
bte.February.TheBeatlesHeyJudeRemastered2015,33
bte.February.AdeleChasingPavements,34
bte.February.TheDecemberistsMakeYouBetter,35
bte.February.TheRocketSummerHillsandValleysLive,36
bte.February.SayAnythingWalkThroughHell,37
bte.February.EpikHighTaru11OneMinuteOneSecondALittleMemoryfeatTaru,38
bte.February.GFriendGlassBead,39
bte.February.ParkBoramHyehwadongorSangmundongFromReply1988OriginalTelevisionSoundtrackPt4,40
bte.February.EpikHighMykRemaptheSoulfeatMYK,41
bte.February.ZicoLUNAItWasLovefeatLUNA,42
bte.February.MikePosnerITookAPillInIbizaSeebRemix,43
bte.February.OHHYUKALittleGirlFromReply1988OriginalTelevisionSoundtrackPt3,44
bte.February.DawinSilentDessertRemix,45
bte.February.JamesBayLetItGo,46
bte.February.SealKissFromARose,47
bte.February.TheRocketSummerSoMuchLove,48
bte.February.TheKillersMrBrightside,49
bte.February.EpikHighHoranofClazziquaiYouAretheOnefeatHoranofClazziquai,50
bte.February.MiikeSnowAnimal,51
bte.February.BrooklynDuoWaitingforLove,52
bte.February.CharityVanceLandonAustinSledgehammer,53
bte.February.TurboAgainfeat,54
bte.February.CrushTAEYEONDontForgetfeatTaeyeon,55
bte.February.GriffinPetersonUglyLove,56
bte.February.BTSINEEDU,57
bte.February.LouisaWendorffGoodbyeBelieve,58
bte.February.ColdplayAdventureOfALifetime,59
bte.February.TravisAtreoLockedAway,60
bte.February.OhWonderLoseIt,61
bte.February.GFriendMeGustasTu,62
bte.February.4MinuteHate,63
bte.March,
bte.March.TAEYEONSecret,64
bte.March.EpikHighDontHateMe,65
bte.March.EpikHighNewBeautiful,66
bte.March.FettyWapRemyBoyz679featRemyBoyz,67
bte.March.TheWeekndTheHills,68
bte.March.HalseyGhostLostKingsRemix,69
bte.March.ImagineDragonsBlankSpaceStandByMeLiveFromSpotifyLondon,70
bte.March.JefrTaleLouiseRademakers500MilesAcousticfeatLouiseRademakers,71
bte.March.BrooklynDuoPhotograph,72
bte.March.TheWeekndInTheNight,73
bte.March.TheChainsmokersDayaDontLetMeDown,74
bte.March.Ten2,75
bte.March.TaeYangINeedaGirlfeatGDragon,76
bte.March.MalinKojolaSkinnyLove,77
bte.March.TravisAtreoDieaHappyMan,78
bte.March.TravisAtreoAllIAsk,79
bte.March.HyunaYukJidamIceIce,80
bte.March.RichardMarxRightHereWaiting,81
bte.March.UsTheDuoSlowDownTime,82
bte.March.EllieGouldingSomethingInTheWayYouMove,83
bte.March.FloRidaMyHouse,84
bte.March.AndrewRippFallingFaster,85
bte.April,
bte.April.DonnieTrumpetTheSocialExperimentSundayCandy,86
bte.April.TheWeekndHouseOfBalloonsGlassTableGirls,87
bte.April.LukasGraham7Years,88
bte.April.NellyDieaHappyMan,89
bte.April.DrakeJheneAikoFromTime,90
bte.April.SiaCheapThrills,91
bte.April.EllaEyreWeDontHaveToTakeOurClothesOff,92
bte.April.LEEHIBREATHE,93
bte.April.AzizAnsariMeetingtheLoveofYourLifeatBedBathandBeyond,94
bte.April.AzizAnsariIfMyGenerationWasaFont,WedbeComicSans,95
bte.April.TheShinsACometAppears,96
bte.April.YOONADeoksugungStonewallWalkwayFeat10cm,97
bte.April.RedVelvetHappiness,98
bte.April.LaurenOConnellAllIHavetoDoIsDream,99
bte.April.SaosinYoureNotAlone,100
bte.April.DaphneLovesDerbySun,101
bte.April.TheStrumbellasSpirits,102
bte.April.10cmWhattheSpring,103
bte.April.EricNamWENDYSpringLove,104
bte.April.The1975TheSound,105
bte.April.2ChainzLilWayneBounce,106
bte.April.SunnyLunaItsMe,107
bte.April.MiryoTheWayWeWerefeatSunnyGirlsGeneration,108
bte.April.DiaFramptonTrapeze,109
bte.May,
bte.May.AnberlinTheResistance,110
bte.May.BaauerNovelistLeikeli47DayOnes,111
bte.May.KWillOriginalTelevisionSoundtrack,Pt6,112
bte.May.TheNakedAndFamousHeartsLikeOurs,113
bte.May.EpikHighMykHeavenfeatMYK,114
bte.May.MeganLeeStronger,115
bte.May.JeanMichelBlaisBUFFLONostos,116
bte.May.AnberlinBreaking,117
bte.May.ErnieHalterYouMakeMeWannaWhereMyGirlsAt,118
bte.May.FickleFriendsSwim,119
bte.May.BaauerMIAGDRAGONTemple,120
bte.May.ArminvanBuurenBullySongsManseFreefallManseRemix,121
bte.May.CarlyRaeJepsenRunAwayWithMe,122
bte.May.EricBellinger2ChainzFettyWapValetfeatFettyWapand2Chainz,123
bte.May.AlessiaCaraSebastianKoleStone,124
bte.May.TimefliesOnceinaWhile,125
bte.May.DanielJangFindYouSpectrumClarityStaytheNight,126
bte.May.SebastianKoleLovesOnTheWay,127
bte.May.GiuseppeOttavianiDoctorWhoASOT763,128
bte.May.AlessiaCaraWildThings,129
bte.May.R3habAMBERLUNAWave,130
bte.May.JiminXIUMINCallYouBae,131
bte.June,
bte.June.SugarcultMemory,132
bte.June.FortMinorStylesOfBeyondRememberTheNamefeatStylesOfBeyond,133
bte.June.ErnieHalterAlwaysBeMyBaby,134
bte.June.AudienLadyAntebellumSomethingBetter,135
bte.June.FortMinorWelcome,136
bte.June.MarkusSchulzCAYOIHearYouCalling,137
bte.June.CHENPunchEverytime,138
bte.June.StandingEggYell,139
bte.June.BABYMETALDokiDokiMorninglive,140
bte.June.YoGottiE40Law,141
bte.June.DiddyBlackRobMarkCurryBadBoyForLife,142
bte.June.CNBLUEYoureSoFine,143
bte.June.AOAGoodLuck,144
bte.June.LeessangJungIn,CantBreakupGirl,CantBreakawayBoyfeatJungIn,145
bte.June.LeessangChangKihaTheFacesLetsMeetNowfeatKihaTheFaces,146
bte.June.BABYMETALIinelive,147
bte.June.TritonalStephJonesBlackout,148
bte.June.XIAHowCanILoveYou,149
bte.June.BlockBToy,150
bte.June.FatJoeRemyMaFrenchMontanaInfaRedAllTheWayUp,151
bte.June.BABYMETALGimmeChocolate,152
bte.June.blink182BoredToDeath,153
bte.June.PierceFultonLucidDreamOriginalMix,154
bte.June.BeatieWolfeNeedSomebody,155
bte.June.FiveSlamDunkDaFunk,156
bte.June.DisfunktionHusmanChrisArnottEverythingIsBeautifulASOT764,157
bte.June.JustinTimberlakeCANTSTOPTHEFEELINGOriginalSongfromDreamWorksAnimationsTROLLS,158
bte.June.SecretsAssBackHome,159
bte.June.TheYoungWildNotaOne,160
bte.June.EmpireoftheSunAlive,161
bte.June.CHVRCHESGoldroomLeaveATraceGoldroomRemix,162
bte.June.TAEYEONWhy,163
bte.June.PierceTheVeilJusttheWayYouAre,164
bte.June.ADayToRememberOverMyHeadTheFraycover,165
bte.July,
bte.July.BoABeenzinoNoMatterWhat,166
bte.July.CrushPunchSleeplessNightfeatPunch,167
bte.July.BambeeBumbleBee,168
bte.July.SmallpoolsDreaming,169
bte.July.DJSnakeBipolarSunshineMiddle,170
bte.July.XAmbassadorsAAPFergJamieNCommonsLowLife20,171
bte.July.BreatheCarolinaDownJaySeancover,172
bte.July.IllitheasLastForeverASOT769,173
bte.July.DavichiItsalright,ThisisLove,174
bte.July.BebeRexhaNickiMinajNoBrokenHeartsfeatNickiMinaj,175
bte.July.LilWayneWizKhalifaImagineDragonsLogicTyDollaignXAmbassadorsSuckerForPainwithWizKhalifa,ImagineDragons,LogicTyDollaignfeatXAmbassadors,176
bte.July.BoyceAvenueTylerWardShimmerfeatTylerWard,177
bte.July.CitizenShadeIfYouWant,178
bte.July.LandonAustinTaylorLeighITookaPillinIbiza,YouthAcousticMashupfeatTaylorLeigh,179
bte.July.KarminWhatDoYouMean,180
bte.July.JayessleePayphone,181
bte.July.KentJonesDontMind,182
bte.July.TAEYEONDeanStarlight,183
bte.July.ConroOnMyWayUp,184
bte.July.DaphneLovesDerbyBirthdayGallery,185
bte.July.DaphneLovesDerbySundays,186
bte.July.SpencerKaneYouth,187
bte.July.GoldPandaYou,188
bte.July.JaiWolfIndianSummer,189
bte.July.RedVelvetDumbDumb,190
bte.July.TheDowntownFictionSuperBass,191
bte.July.GalantisNoMoney,192
bte.July.CHENBestLuck,193
bte.August,
bte.August.DiamondEyesChristinaGrimmieStaywithMe,194
bte.August.SakNoelSalviSeanPaulTrumpetsfeatSeanPaul,195
bte.August.FifthHarmonyFettyWapAllInMyHeadFlex,196
bte.August.ColinHayWaitingForMyRealLifeToBeginReRelease,197
bte.August.ColinHayBeautifulWorldAlternateMix,198
bte.August.CashCashDigitalFarmAnimalsNellyMillionairefeatNelly,199
bte.August.ZaneJaysonJohnsWeDontTalkAnymore,200
bte.August.HongDaeKwangIFeelYou,201
bte.August.FamilyoftheYearHero,202
bte.August.TheNaturalPipAndrewDanceLikeNobodysWatchingfeatPipAndrew,203
bte.August.JoshuaRadinEverythingllBeAlrightWillsLullaby,204
bte.August.TimMcGrawHumbleAndKind,205
bte.August.JoshuaRadinWeAreOkay,206
bte.August.RudimentalVicMensaEdSheeranBigSeanLayItAllOnMefeatBigSean,VicMensaEdSheeranRudiVIPMix,207
bte.August.TheCocktailsSharkintheWater,208
bte.August.TroyeSivanAlessiaCaraWILD,209
bte.August.ColinHayOverkillAcousticVersion,210
bte.September,
bte.September.ShiftCompass,211
bte.September.JimmyEatWorld23,212
bte.September.TheNakedAndFamousHigher,213
bte.September.KidInkFettyWapPromise,214
bte.September.DashboardConfessionalHandsDown,215
bte.September.R3habSakura,216
bte.September.KeshaWarrior,217
bte.September.CharlesBoltFarandBeyond,218
bte.September.LukasGrahamMamaSaid,219
bte.September.BLACKPINKWHISTLE,220
bte.September.BLACKPINKBOOMBAYAH,221
bte.September.KaeSunShipAndTheGlobe,222
bte.September.KeshaCMon,223
bte.September.GladesHerLovingYou,224
bte.September.DJKhaledDrakeForFree,225
bte.September.DJSnakeJustinBieberLetMeLoveYou,226
bte.September.HyunaHowsThis,227
bte.September.fxAllMine,228
bte.September.FrankOceanPinkWhite,229
bte.September.ColdplaySeebHymnForTheWeekendSeebRemix,230
bte.September.LittleSunsSunboat,231
bte.September.CHENBAEKHYUNXIUMINForYou,232
bte.September.NewEmpireALittleBraver,233
bte.October,
bte.October.HwanheeLoveSick,234
bte.October.CalvinHarrisMyWay,235
bte.October.SkrillexRickRossPurpleLamborghiniwithRickRoss,236
bte.October.NewEmpireAcrossTheOceans,237
bte.October.ZackDeLaRochadiggingforwindows,238
bte.October.GEazyRemotheHitmakerIMeanIt,239
bte.October.SamSmithDisclosureLatchLiveFromMadisonSquareGarden,240
bte.October.TheChainsmokersHalseyCloser,241
bte.October.RihannaDrakeR3habWorkR3habRemix,242
bte.October.MFinalSong,243
bte.October.KimWoobinDoYouKnow,244
bte.October.KeshaWhereverYouAre,245
bte.October.DanShayFromtheGroundUp,246
bte.October.SiaKendrickLamarTheGreatest,247
bte.October.MIIAElephanteDynastyElephanteRemix,248
bte.October.DrBoomyMyraHeidelEyes,Nose,Lips,249
bte.October.FloridaGeorgiaLineHOLY,250
bte.October.ImadRoyalBad4U,251
bte.November,
bte.November.GavinDeGrawSheSetsTheCityOnFire,252
bte.November.KikiRoweTrustIssues,253
bte.November.YuJaeSeokEXODancingKing,254
bte.November.DefTechCatchTheWave,255
bte.November.AMBERBorders,256
bte.November.LittleCreaturesKangaroo,257
bte.November.GillChangIMissYou,258
bte.November.OfMonstersandMenEmpire,259
bte.November.CieleChrisHoDaydream,260
bte.November.OnJuneKeviSunrise,261
bte.November.ElectricWireHustleTroublemakers,262
bte.November.RogerEverndenLateAtNightIThinkofYou,263
bte.November.AliciaKeysHolyWar,264
bte.November.JunggigoOnlyU,265
bte.November.MihoFukuharaWASABIGREEN,266
bte.November.MartinGarrixBebeRexhaIntheNameofLove,267
bte.November.CashCashSofiaReyesHowToLovefeatSofiaReyesAcoustic,268
bte.November.KendrickLamarMCEihtmAAdcity,269
bte.November.BLACKPINKWHISTLEAcousticVer,270
bte.November.SuchmosMINT,271
bte.November.KimWoobinPictureInMyHead,272
bte.November.SabaNonameChurchLiquorStore,273
bte.November.ParokyaNiEdgarLagiMongTatandaan,274
bte.November.SnakehipsTinasheChanceTheRapperAllMyFriends,275
bte.November.ChrisTrapperAngelAppearinginaSmallCafe,276
bte.November.FarEastMovementMacyGrayForeverSurvivorfeatMacyGray,277
bte.November.GDRAGONWHOYOUJPNVer,278
bte.November.TwentyOnePilotsHeathens,279
bte.November.DixieFlatlineJuvenile,280
bte.December,
bte.December.UsTheDuoStopJustLove,281
bte.December.MarkusSchulzCAYOIHearYouCallingAcousticVersion,282
bte.December.KevinChocolateDroppaHartMigosTIBallerAlert,283
bte.December.ConorMaynardThisIsMyVersion,284
bte.December.Maroon5KendrickLamarDontWannaKnow,285
bte.December.JamesArthurSayYouWontLetGo,286
bte.December.DJKhaledNickiMinajChrisBrownAugustAlsinaJeremihFutureRickRossDoYouMind,287
bte.December.BLACKPINKSTAY,288
bte.December.Back2BasixxSenyuman,289
bte.December.AlexDaKidXAmbassadorsElleKingWizKhalifaNotEasy,290
bte.December.MattFrancoFreshEyes,291
bte.December.HanneLelandOneLastChance,292
